run_num,run_id,scan_id,ordinal,wheel,direction,tension_state,metadata_correct_digit,before_code,after_code,before_digit,after_digit,truth_digit,is_true_gate,position_valid,collection_mode,action_type,sample_rate,channels,audio_duration_s,motion_duration_s,quality_valid,final_step,event_count,target_rms,target_peak,target_clipped,reference_rms,reference_peak,reference_clipped,audio_overflow,contains_non_finite,scan_start_code,scan_start_digit,transition
37,run_000037,4,7,1,CCW,UNLOADED,-1,3062,4062,3,4,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274525,True,171,2,0.003186314622175349,0.094146728515625,0,0.0025550518681343305,0.035797119140625,0,False,False,7062,7,3→4
38,run_000038,4,8,1,CCW,UNLOADED,-1,4062,5062,4,5,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.273892,True,171,2,0.0030915754783501547,0.0709228515625,0,0.002756615503187393,0.050018310546875,0,False,False,7062,7,4→5
39,run_000039,4,9,1,CCW,UNLOADED,-1,5062,6062,5,6,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274491,True,171,2,0.0019358694038843025,0.016448974609375,0,0.00221528648018999,0.038055419921875,0,False,False,7062,7,5→6
40,run_000040,4,10,1,CCW,UNLOADED,-1,6062,7062,6,7,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275304,True,171,2,0.00322888458898644,0.096710205078125,0,0.0033981135881301964,0.07086181640625,0,False,False,7062,7,6→7
41,run_000041,5,1,1,CCW,UNLOADED,-1,0062,1062,0,1,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.3876190476190475,0.274675,True,171,2,0.0026726888943438636,0.0499267578125,0,0.0031602116470400765,0.090301513671875,0,False,False,0062,0,0→1
42,run_000042,5,2,1,CCW,UNLOADED,-1,1062,2062,1,2,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274918,True,171,2,0.003328393657596714,0.09893798828125,0,0.003837136870252737,0.063446044921875,0,False,False,0062,0,1→2
43,run_000043,5,3,1,CCW,UNLOADED,-1,2062,3062,2,3,3,1,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275049,True,171,2,0.0020124246775172386,0.017333984375,0,0.0022036410253656815,0.0279541015625,0,False,False,0062,0,2→3
44,run_000044,5,4,1,CCW,UNLOADED,-1,3062,4062,3,4,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275494,True,171,2,0.0023476446608790232,0.032135009765625,0,0.002353912887682856,0.030059814453125,0,False,False,0062,0,3→4
45,run_000045,5,5,1,CCW,UNLOADED,-1,4062,5062,4,5,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274453,True,171,2,0.0022771519122609042,0.0321044921875,0,0.0024187614505201136,0.042877197265625,0,False,False,0062,0,4→5
46,run_000046,5,6,1,CCW,UNLOADED,-1,5062,6062,5,6,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274251,True,171,2,0.002321208033009979,0.0205078125,0,0.002018432102963611,0.045135498046875,0,False,False,0062,0,5→6
47,run_000047,5,7,1,CCW,UNLOADED,-1,6062,7062,6,7,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274443,True,171,2,0.0025428097841130263,0.05169677734375,0,0.0022358729722664356,0.038299560546875,0,False,False,0062,0,6→7
48,run_000048,5,8,1,CCW,UNLOADED,-1,7062,8062,7,8,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275046,True,171,2,0.001980114535096386,0.020538330078125,0,0.0019433597372790071,0.036407470703125,0,False,False,0062,0,7→8
49,run_000049,5,9,1,CCW,UNLOADED,-1,8062,9062,8,9,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275421,True,171,2,0.0038519712383407513,0.132080078125,0,0.0034481270666553493,0.06109619140625,0,False,False,0062,0,8→9
50,run_000050,5,10,1,CCW,UNLOADED,-1,9062,0062,9,0,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.273956,True,171,2,0.00320791789950148,0.1014404296875,0,0.003679160791250505,0.08428955078125,0,False,False,0062,0,9→0
51,run_000051,6,1,1,CCW,LOADED,-1,0062,1062,0,1,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275395,True,171,2,0.004464959307975348,0.1353759765625,0,0.006279880042100258,0.19384765625,0,False,False,0062,0,0→1
52,run_000052,6,2,1,CCW,LOADED,-1,1062,2062,1,2,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275128,True,171,2,0.0022060838418157492,0.029815673828125,0,0.002071271613931573,0.030609130859375,0,False,False,0062,0,1→2
53,run_000053,6,3,1,CCW,LOADED,-1,2062,3062,2,3,3,1,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274755,True,171,2,0.0022661311473603516,0.013031005859375,0,0.00206480591799045,0.03399658203125,0,False,False,0062,0,2→3
54,run_000054,6,4,1,CCW,LOADED,-1,3062,4062,3,4,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.273836,True,171,2,0.0020638538149034356,0.039459228515625,0,0.0019925047415859753,0.03857421875,0,False,False,0062,0,3→4
55,run_000055,6,5,1,CCW,LOADED,-1,4062,5062,4,5,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274834,True,171,2,0.001968205625432978,0.017486572265625,0,0.002023920041529323,0.041412353515625,0,False,False,0062,0,4→5
56,run_000056,6,6,1,CCW,LOADED,-1,5062,6062,5,6,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274908,True,171,2,0.00228602464201098,0.0189208984375,0,0.0019864258002247216,0.045135498046875,0,False,False,0062,0,5→6
57,run_000057,6,7,1,CCW,LOADED,-1,6062,7062,6,7,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275443,True,171,2,0.0024046386244048895,0.029327392578125,0,0.002068540618989777,0.038482666015625,0,False,False,0062,0,6→7
58,run_000058,6,8,1,CCW,LOADED,-1,7062,8062,7,8,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.27516,True,171,2,0.0021059938715126836,0.02032470703125,0,0.0022576703292967355,0.044464111328125,0,False,False,0062,0,7→8
59,run_000059,6,9,1,CCW,LOADED,-1,8062,9062,8,9,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275425,True,171,2,0.0020378029901616424,0.01641845703125,0,0.0021188914107424907,0.032073974609375,0,False,False,0062,0,8→9
60,run_000060,6,10,1,CCW,LOADED,-1,9062,0062,9,0,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275403,True,171,2,0.002235857348683627,0.020111083984375,0,0.002102705032309071,0.03082275390625,0,False,False,0062,0,9→0
61,run_000061,7,1,1,CCW,LOADED,-1,5062,6062,5,6,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275072,True,171,2,0.00226842763070831,0.01434326171875,0,0.0019967003331302084,0.0411376953125,0,False,False,5062,5,5→6
62,run_000062,7,2,1,CCW,LOADED,-1,6062,7062,6,7,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.3876190476190475,0.274435,True,171,2,0.0027532781652424075,0.026519775390625,0,0.0019453853182781488,0.040191650390625,0,False,False,5062,5,6→7
63,run_000063,7,3,1,CCW,LOADED,-1,7062,8062,7,8,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275301,True,171,2,0.0021310480016680914,0.0284423828125,0,0.001861931142798213,0.032012939453125,0,False,False,5062,5,7→8
64,run_000064,7,4,1,CCW,LOADED,-1,8062,9062,8,9,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274441,True,171,2,0.002020017918353251,0.02398681640625,0,0.002401133294514448,0.031005859375,0,False,False,5062,5,8→9
65,run_000065,7,5,1,CCW,LOADED,-1,9062,0062,9,0,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274298,True,171,2,0.0021574852335567636,0.019500732421875,0,0.0024267572070947783,0.033233642578125,0,False,False,5062,5,9→0
66,run_000066,7,6,1,CCW,LOADED,-1,0062,1062,0,1,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.27442,True,171,2,0.0019224774345971741,0.01800537109375,0,0.0021503922245534835,0.02850341796875,0,False,False,5062,5,0→1
67,run_000067,7,7,1,CCW,LOADED,-1,1062,2062,1,2,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275358,True,171,2,0.002918506178372736,0.076568603515625,0,0.002584055457234921,0.031036376953125,0,False,False,5062,5,1→2
68,run_000068,7,8,1,CCW,LOADED,-1,2062,3062,2,3,3,1,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274378,True,171,2,0.002099177847237337,0.018585205078125,0,0.0017833230506812785,0.033447265625,0,False,False,5062,5,2→3
69,run_000069,7,9,1,CCW,LOADED,-1,3062,4062,3,4,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275413,True,171,2,0.004582328514141335,0.163543701171875,0,0.002909261004339103,0.072601318359375,0,False,False,5062,5,3→4
70,run_000070,7,10,1,CCW,LOADED,-1,4062,5062,4,5,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.275069,True,171,2,0.00197625659765511,0.014373779296875,0,0.0020033270178732537,0.035888671875,0,False,False,5062,5,4→5
71,run_000071,8,1,1,CCW,UNLOADED,-1,5062,6062,5,6,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274587,True,171,2,0.005870709178727202,0.27239990234375,0,0.008093847538196705,0.24114990234375,0,False,False,5062,5,5→6
72,run_000072,8,2,1,CCW,UNLOADED,-1,6062,7062,6,7,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.27374,True,171,2,0.0026156507124308168,0.025665283203125,0,0.0020705260591155255,0.0419921875,0,False,False,5062,5,6→7
73,run_000073,8,3,1,CCW,UNLOADED,-1,7062,8062,7,8,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.273829,True,171,2,0.0022258221134551343,0.03076171875,0,0.0025220394856026026,0.040863037109375,0,False,False,5062,5,7→8
74,run_000074,8,4,1,CCW,UNLOADED,-1,8062,9062,8,9,3,0,True,digit_scan,DIGIT_MOVE,44100,2,1.4188888888888889,0.274641,True,171,2,0.002232019180246487,0.0240478515625,0,0.00215957113817938,0.03802490234375,0,False,False,5062,5,8→9
